Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward, Parameters
24, 7.334792967, 194.02796244621277, 520, 15520, 17.55, [-4.8  6.6  3.7  0.7 -2.7 -1.7 -4.   2.4  2.8 -1.8]
25, 7.655508749000001, 249.0471317768097, 540, 16168, 32.4, [ 6.4  5.5 -3.9 -2.5  4.5  1.1 -2.3  3.9 -0.7  0.9]
26, 7.964036234, 254.64256811141968, 560, 18148, 99.0, [ 6.6 -0.2 -1.8 -0.2  3.7  1.1 -1.5  3.9 -2.1 -2.2]
27, 8.238028826, 274.6366708278656, 580, 18337, 9.45, [6.4 7.5 8.6 9.2 4.2 4.4 5.6 6.9 8.1 0.7]
28, 8.547989587, 282.28702759742737, 600, 19125, 39.4, [ 6.4 -3.9 -1.8  0.7  3.7  1.1 -1.5  3.9 -0.7  0.9]
29, 8.835628019, 291.97396540641785, 620, 19956, 41.55, [ 6.4 -3.9 -1.8  0.7  3.7  1.1 -1.5  3.9 -0.7  0.9]
30, 9.126892857, 300.8650643825531, 640, 20143, 9.35, [ 5.5 -2.5 -1.5  3.7  1.1  1.1 -1.8 -0.7  0.9  0.9]
31, 9.432527066, 307.1979010105133, 660, 20939, 39.8, [ 6.6 -3.8  1.4 -0.7  2.9  1.1 -1.8  3.9 -0.7  0.9]
32, 9.730259019, 311.4210729598999, 680, 21129, 9.5, [-4.8  7.5  8.6  9.2  4.2  4.4  5.6  6.9  8.1  0.7]
33, 10.036886368000001, 319.853431224823, 700, 21928, 39.95, [ 4.5 -3.9 -1.8  0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
34, 10.359614650000001, 326.7083270549774, 720, 22953, 51.25, [ 6.2 -3.8  1.4 -0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
35, 10.672809965, 334.0421681404114, 740, 24760, 90.35, [ 6.6 -0.2 -1.8 -0.2  3.7  1.1 -1.5  3.9 -2.1 -2.2]
36, 10.991722450000001, 343.4317481517792, 760, 25655, 44.75, [ 6.4 -3.9  1.4 -0.7  2.9  1.1 -1.8  3.9 -0.7  0.9]
37, 11.297928595, 349.7816083431244, 780, 26680, 51.25, [ 6.5 -4.   2.9 -0.7  2.8  1.2 -1.8  3.9 -0.7  0.9]
38, 11.610103609000001, 352.40145349502563, 800, 27662, 49.1, [ 6.  -1.8  1.4 -0.7  2.9  1.1 -1.5  3.9 -0.7  0.9]
39, 11.923181084000001, 356.3205523490906, 820, 28612, 47.5, [ 6.  -1.8  1.4 -0.7  2.9  1.1 -1.5  3.9 -0.7  0.9]
40, 12.239259057, 368.82121562957764, 840, 29851, 61.95, [ 6.  -1.8 -0.4 -0.7  3.7 -1.5  0.   3.9 -0.5 -0.6]
41, 12.610201406, 428.1555938720703, 860, 30753, 45.1, [ 5.  -2.4 -3.9 -0.7  3.6  1.1 -1.8  3.9 -0.7  0.9]
42, 12.917720789, 438.3009147644043, 880, 32705, 97.6, [ 6.6 -0.2 -1.8 -0.2  3.7  1.1 -1.5  3.9 -2.1 -2.2]
43, 13.207952963, 476.47784543037415, 900, 34212, 75.35, [ 5.5  2.1 -3.9  0.7  3.6  1.1 -1.8  3.9 -0.7  0.9]
44, 13.535014921, 481.9612400531769, 920, 35171, 47.95, [ 5.  -2.4 -3.9 -0.7  3.6  1.1 -1.8  3.9 -0.7  0.9]
45, 13.835418002, 490.8873805999756, 940, 36515, 67.2, [ 6.6 -2.1 -3.9  0.7  3.6  1.1 -1.8  3.9 -0.7  0.9]
46, 14.140667683, 502.159122467041, 960, 38621, 105.3, [ 6.   1.4 -1.8 -0.2  3.7  1.1 -1.5  3.9  0.7  0.9]
47, 14.432635985000001, 514.6708798408508, 980, 38807, 9.3, [ 6.  -2.4 -3.9  0.7  3.6  1.1 -1.8 -0.7  0.7  0.9]
48, 14.746228244000001, 520.8594243526459, 1000, 39848, 52.05, [ 5.  -2.4 -3.9 -0.7  3.6  1.1 -1.8  3.9 -0.7  0.9]
49, 15.053471105, 526.0619652271271, 1020, 40778, 46.5, [ 6.5 -2.4 -3.9 -0.7  3.6  1.1 -1.8  3.9 -0.7  0.9]
50, 15.362483962999999, 534.528685092926, 1040, 40956, 8.9, [ 6.  -2.4 -3.9 -0.7  3.6  1.1 -1.8 -0.7  0.7  0.9]
51, 15.666074430000002, 542.4965488910675, 1060, 41147, 9.55, [-3.  -2.5  1.   2.5 -4.5  0.5  3.  -1.5  0.7 -0.8]
52, 15.993892051, 550.9990103244781, 1080, 43138, 99.55, [ 6.  -0.2 -1.8 -0.2  3.7  1.1 -1.5  3.9 -2.1 -2.2]
53, 16.301529246, 559.154459476471, 1100, 44124, 49.3, [ 6.  -2.4 -3.9 -0.7  3.6  1.1 -1.8  3.9 -0.7  0.9]
54, 16.606557542, 564.5499336719513, 1120, 45099, 48.75, [ 6.  -2.4  1.   0.7 -3.9  0.9  0.   3.9  0.7 -0.8]
55, 16.918369836, 572.7165427207947, 1140, 46406, 65.35, [ 6.6 -2.1 -3.9  0.7  3.6  1.1 -1.8  3.9 -0.7  0.9]
56, 17.227245082, 703.1675388813019, 1160, 47210, 40.2, [ 6.  -2.4  0.  -0.7  3.9  1.1 -1.8  3.9 -0.7  0.9]
57, 17.527906414, 708.0402133464813, 1180, 48060, 42.5, [ 6.  -2.4  1.   0.7 -3.9  0.9  0.   3.9 -0.7  0.9]
58, 17.826756643, 718.2235102653503, 1200, 48935, 43.75, [ 6.  -2.4  1.   0.7 -3.9  0.9  0.   3.9 -0.7  0.9]
59, 18.165795531, 726.2360620498657, 1220, 49287, 17.6, [-6.   1.4 -3.9  0.7  3.6  1.1 -1.8  3.9 -0.7  0.9]
60, 18.474231035, 743.387490272522, 1240, 49472, 9.25, [ 6.  -2.4 -3.9 -0.2 -5.  -0.8  0.  -1.   0.5 -0.5]
61, 18.798001372, 752.1363518238068, 1260, 51343, 93.55, [ 6.  -0.2 -1.8 -0.2  3.7  1.1 -1.8  3.9 -2.1 -2.2]
62, 19.117652248, 756.3866605758667, 1280, 53917, 128.7, [ 5.7 -2.4  0.8 -0.7 -3.9  1.1 -1.8  3.9 -2.1 -2.2]
63, 19.447773261000002, 768.1707580089569, 1300, 57071, 157.7, [ 6.6 -0.2 -1.8 -0.2 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
64, 19.780507651, 781.0416786670685, 1320, 58733, 83.1, [ 6.6 -0.2 -1.8 -0.2  5.   1.1 -1.8  3.9 -2.1 -2.2]
65, 20.109582168, 785.2101845741272, 1340, 61037, 115.2, [ 6.6 -2.4  0.8 -0.7 -3.9  1.1 -1.8  3.9 -2.1 -2.2]
66, 20.448756177, 789.7387866973877, 1360, 63351, 115.7, [ 6.  -2.4  0.8 -0.7 -3.9  1.1 -1.8  3.9 -2.1 -2.2]
67, 20.78059254, 793.6425321102142, 1380, 65756, 120.25, [ 6.  -2.4  0.8 -0.7 -3.9  1.1 -1.8  3.9 -2.1 -2.2]
68, 21.116458781000002, 800.5281927585602, 1400, 67968, 110.6, [ 6.  -2.4  0.8 -0.7 -3.9  1.1 -1.8  3.9 -2.1 -2.2]
69, 21.456362389, 809.1731383800507, 1420, 70357, 119.45, [ 6.  -2.4  0.8 -0.7 -3.9  1.1 -1.8  3.9 -2.1 -2.2]
70, 21.782306763, 822.5443592071533, 1440, 72909, 127.6, [ 5.7 -0.2  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
71, 22.111661457, 829.7295892238617, 1460, 75903, 149.7, [ 6.6 -0.2  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
72, 22.455955763000002, 839.7629652023315, 1480, 78593, 134.5, [ 6.6 -0.2  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
73, 22.791258278, 844.7330017089844, 1500, 81408, 140.75, [ 6.6 -0.2  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
74, 23.120604038, 855.7840011119843, 1520, 83340, 96.6, [ 6.6 -0.2 -1.8 -0.2  3.7  1.1 -1.5  3.9 -2.1 -2.2]
75, 23.484744338, 861.6596004962921, 1540, 85435, 104.75, [ 6.6 -0.2 -1.8 -0.2  3.7  1.1 -1.5  3.9 -2.1 -2.2]
76, 23.804410097, 865.8746562004089, 1560, 87269, 91.7, [ 6.6 -0.2 -1.8 -0.2  3.7  1.1 -1.5  3.9 -2.1 -2.2]
77, 24.135956047, 872.0964574813843, 1580, 89698, 121.45, [ 6.6 -0.2  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
78, 24.500370594, 879.6423678398132, 1600, 91741, 102.15, [ 6.6 -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
79, 24.840349013, 883.3810575008392, 1620, 93935, 109.7, [ 6.6 -0.2  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
80, 25.187085339, 889.4261870384216, 1640, 95959, 101.2, [ 6.6 -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
81, 25.521820038, 897.1256608963013, 1660, 97886, 96.35, [ 6.6 -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9  0.7  0.9]
82, 25.865307913, 901.3213646411896, 1680, 100224, 116.9, [ 6.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
83, 26.18825192, 905.2974300384521, 1700, 102418, 109.7, [ 6.6 -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
84, 26.511970507, 913.7975361347198, 1720, 106330, 195.6, [-6.  -2.4 -1.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
85, 26.860093308, 918.445779800415, 1740, 110092, 188.1, [-6.  -2.4 -1.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
86, 27.156156754, 928.9240479469299, 1760, 110272, 9.0, [-6.  -2.4 -1.8 -0.7  5.7  0.8  0.7 -0.7  0.9  0.6]
87, 27.487593108000002, 941.2474503517151, 1780, 113920, 182.4, [-6.  -2.4 -1.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
88, 27.827990108, 951.5729298591614, 1800, 117563, 182.15, [-6.  -2.4 -1.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
89, 28.152298218000002, 955.7889318466187, 1820, 120741, 158.9, [-6.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
90, 28.485732568, 961.766077041626, 1840, 125534, 239.65, [-5.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
91, 28.835066925, 969.2025046348572, 1860, 128817, 164.15, [-6.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
92, 29.180990282, 1018.2790024280548, 1880, 131813, 149.8, [-6.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
93, 29.550115043, 1028.1324615478516, 1900, 136915, 255.1, [-5.  -2.4  0.8  0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
94, 29.878052931, 1033.3305530548096, 1920, 140519, 180.2, [-6.  -2.4  0.9 -0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
95, 30.193599037000002, 1040.6953461170197, 1940, 141893, 68.7, [-6.   6.6 -1.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
96, 30.530412235, 1046.2705335617065, 1960, 148084, 309.55, [-5.  -2.4  0.8  0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
97, 30.864936864, 1049.4773588180542, 1980, 151521, 171.85, [-6.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
98, 31.219698811, 1054.643666267395, 2000, 157027, 275.3, [-5.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
99, 31.579103136999997, 1060.5036706924438, 2020, 161684, 232.85, [-5.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
100, 31.944438941999998, 1069.7994163036346, 2040, 167016, 266.6, [-5.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  3.9 -2.1 -2.2]
101, 32.281626165, 1074.0399770736694, 2060, 170862, 192.3, [-5.  -2.4  0.9 -0.7 -3.8  1.1 -1.5  4.1 -2.1 -2.2]
102, 32.623918437, 1078.0124490261078, 2080, 174957, 204.75, [-5.  -2.4  0.9 -0.7 -3.8  1.1 -1.5  4.1 -2.1 -2.2]
103, 32.953579651, 1081.9484815597534, 2100, 176865, 95.4, [-6.   2.5  0.9 -0.7 -3.8  1.1 -1.5  4.1 -2.1 -2.2]
104, 33.295487391, 1092.6627564430237, 2120, 180184, 165.95, [-6.  -2.4  0.8 -1.  -2.5  1.1 -1.5  4.1 -2.1 -2.2]
105, 33.667390094, 1096.5579733848572, 2140, 183578, 169.7, [-6.  -2.4  0.9 -0.7 -3.8  1.1 -1.5  4.1 -2.1 -2.2]
106, 34.011990366, 1102.7229089736938, 2160, 188529, 247.55, [-5.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
107, 34.339593455, 1109.861525774002, 2180, 192307, 188.9, [-6.  -2.5  0.8 -0.7 -3.9  1.1 -1.4  4.1 -1.9 -2. ]
108, 34.658981122, 1114.454601764679, 2200, 194368, 103.05, [-6.   2.5  0.9 -0.7 -3.8  1.1 -1.5  4.1 -2.1 -2.2]
109, 35.006125778, 1128.4345858097076, 2220, 199515, 257.35, [-5.  -2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
110, 35.343980366000004, 1134.0761604309082, 2240, 201581, 103.3, [-6.   2.5  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
111, 35.65153688, 1139.9236207008362, 2260, 203197, 80.8, [-5.   2.5  0.9  0.7 -3.8  1.1  0.9  4.1 -2.1 -2.2]
112, 35.965400608, 1144.7340199947357, 2280, 204598, 70.05, [-6.   2.5  0.9  0.7 -3.8  1.1  0.9  4.1 -2.1 -2.2]
113, 36.321077663, 1149.907871246338, 2300, 206478, 94.0, [-6.   2.5  0.9 -0.7 -3.8  1.1 -1.5  4.1 -2.1 -2.2]
114, 36.669108966, 1153.7944900989532, 2320, 206667, 9.45, [-4.   2.5  0.8  0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
115, 36.986078813, 1162.0943598747253, 2340, 206856, 9.45, [-6.   2.5  0.8  0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
116, 37.338260203, 1171.0436141490936, 2360, 208881, 101.25, [-5.   2.5  0.9 -0.7 -3.8  1.1 -1.5  4.1 -2.1 -2.2]
117, 37.663580695, 1184.0878705978394, 2380, 209078, 9.85, [-5.   2.4  0.8  0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
118, 38.041879384, 1190.4375505447388, 2400, 214209, 256.55, [-5.  -2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
119, 38.418320615, 1202.5195481777191, 2420, 220741, 326.6, [-4.  -2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
120, 38.752616756, 1208.6820752620697, 2440, 222769, 101.4, [-5.   2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
121, 39.086655973, 1215.8780517578125, 2460, 223165, 19.8, [-6.  -2.5 -1.8 -0.7 -3.9  2.4 -1.5  4.1 -2.1  1.1]
122, 39.431029204, 1220.4154386520386, 2480, 223354, 9.45, [-5.   2.4  0.8  0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
123, 39.776793816, 1227.7252216339111, 2500, 227496, 207.1, [-5.  -2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
124, 40.177338613, 1231.85906457901, 2520, 234137, 332.05, [-4.  -2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
125, 40.561953813, 1236.2044756412506, 2540, 240557, 321.0, [-5.  -2.4 -1.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
126, 40.894806423, 1243.6989731788635, 2560, 243300, 137.15, [ 5.  -2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
127, 41.303169163, 1258.4790720939636, 2580, 243479, 8.95, [-4.5  2.4  0.8 -0.7 -3.9  1.1  0.8 -2.1 -1.5 -2.2]
128, 41.687767064, 1262.9949984550476, 2600, 250291, 340.6, [-4.  -2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
129, 42.023922524, 1266.5413765907288, 2620, 250475, 9.2, [2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5]
130, 42.402958614, 1272.7405009269714, 2640, 255918, 272.15, [-5.  -2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
131, 42.760622704, 1279.912099123001, 2660, 257870, 97.6, [-5.   2.4  0.8  0.7 -3.9  1.1  0.8  5.  -2.1 -2.2]
132, 43.141925402, 1284.2560908794403, 2680, 264325, 322.75, [-4.  -2.4  0.8 -0.7 -3.9  1.1  0.8  5.  -2.1 -2.2]
133, 43.522196472, 1290.516714334488, 2700, 270606, 314.05, [-5.  -2.4 -1.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
134, 43.908975117, 1294.8351998329163, 2720, 278650, 402.2, [-4.5 -4.5  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
135, 44.266088242, 1301.0702908039093, 2740, 280600, 97.5, [-5.   2.4  0.8  0.7 -3.9  1.1  0.8  5.  -2.1 -2.2]
136, 44.619669352, 1310.4747622013092, 2760, 280790, 9.5, [-5.   2.4  0.8  0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
137, 44.998174609, 1318.5941784381866, 2780, 280979, 9.45, [-5.   2.4  0.8  0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
138, 45.392734848, 1325.40421128273, 2800, 287556, 328.85, [-4.5 -3.5  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
139, 45.795186298, 1331.3955039978027, 2820, 293976, 321.0, [-4.5 -3.5  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
140, 46.121074631, 1335.762247800827, 2840, 294169, 9.65, [-5.   2.4  0.8  0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
141, 46.445622635, 1345.6822018623352, 2860, 294362, 9.65, [-5.   2.4  0.8  0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
142, 46.76489608, 1351.8705756664276, 2880, 294555, 9.65, [-5.   2.4  0.8  0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
143, 47.135428994, 1354.9309012889862, 2900, 294744, 9.45, [-5.   2.4  1.5 -0.7 -3.9  1.1  4.1 -2.1 -2.2 -2.2]
144, 47.465692722, 1360.5243332386017, 2920, 296069, 66.25, [-5.   2.4 -3.5  4.5 -2.5  1.1 -3.5  4.1 -2.1 -2.2]
145, 47.820592727, 1364.3419489860535, 2940, 297471, 70.1, [-5.   2.4 -3.5  4.5 -2.5  1.1 -3.5  4.1 -2.1 -2.2]
146, 48.166981997, 1370.1604306697845, 2960, 298803, 66.6, [-5.   2.4 -3.5  4.5 -2.5  1.1 -3.5  4.1 -2.1 -2.2]
147, 48.520691637, 1379.0677947998047, 2980, 301157, 117.7, [-4.5  2.4  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.2]
148, 48.880833273, 1387.253340959549, 3000, 303510, 117.65, [-5.   2.4 -3.5  0.7 -4.   1.1 -3.5  4.1 -2.1 -2.2]
149, 49.252990745, 1393.134174823761, 3020, 308316, 240.3, [ 2.4 -5.9 -2.7  4.1 -4.6  1.3 -3.8  4.5 -2.3 -2.2]
150, 49.638015091, 1398.4522893428802, 3040, 314681, 318.25, [-4.5 -4.5  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
151, 50.01214477, 1405.1509623527527, 3060, 317246, 128.25, [-5.   2.4 -3.5  0.7 -4.6  1.3 -3.8  4.5 -2.3 -2.2]
152, 50.370173322, 1412.5566883087158, 3080, 320021, 138.75, [-4.5  2.4 -3.5  0.7 -4.6  1.1 -3.8  4.5 -2.5 -2.2]
153, 50.769220859, 1416.8932473659515, 3100, 326673, 332.6, [-4.5 -3.5  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
154, 51.142238198, 1420.4939494132996, 3120, 331536, 243.15, [ 2.4 -5.9 -2.7  4.1 -4.6  1.3 -3.8  4.5 -2.3 -2.2]
155, 51.48903852, 1423.1335270404816, 3140, 334039, 125.15, [-5.   2.4 -3.5  0.7 -4.6  1.3 -3.8  4.5 -2.5 -2.2]
156, 51.874393017, 1429.6821937561035, 3160, 339447, 270.4, [-4.5 -2.4  1.5 -0.7 -4.5  1.5 -3.5  4.5 -2.5 -2.5]
157, 52.266699674, 1433.2242662906647, 3180, 344402, 247.75, [-4.5 -2.4  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
158, 52.656500094, 1438.2022631168365, 3200, 350030, 281.4, [-4.5 -3.5  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
159, 53.067598038, 1445.0767061710358, 3220, 354905, 243.75, [ 2.4 -5.9 -2.7  4.1 -4.6  1.3 -3.8  4.5 -2.3 -2.2]
160, 53.489715029, 1459.8754942417145, 3240, 361752, 342.35, [-4.5 -4.5  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
161, 53.885046913000004, 1474.3406178951263, 3260, 367106, 267.7, [-4.5 -2.4  1.3 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
162, 54.273336066, 1485.1713299751282, 3280, 371431, 216.25, [-5.  -2.4  0.8 -0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
163, 54.69059052, 1490.4181878566742, 3300, 377823, 319.6, [-4.  -2.4  0.8  0.7 -3.9  1.1 -1.5  4.1 -2.1 -2.2]
164, 55.121034261, 1507.5877537727356, 3320, 386224, 420.05, [-4.5 -4.5  1.5 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
165, 55.478094229, 1513.345257282257, 3340, 391366, 257.1, [-4.5 -2.4  1.3 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
166, 55.844318357, 1523.266444683075, 3360, 396465, 254.95, [-4.5 -2.4  1.3 -1.  -4.5  1.5 -3.5  4.5 -2.5 -2.5]
167, 56.298824609, 1529.2044351100922, 3380, 403382, 345.85, [-4.5 -2.4  1.8 -1.  -4.5  1.5  1.5  4.  -2.  -2. ]
168, 56.654339476, 1536.8932688236237, 3400, 407888, 225.3, [-2.4  0.7  1.5 -1.  -4.5  1.5  1.5  4.  -2.5 -2.5]
169, 56.996917529, 1539.780382156372, 3420, 413579, 284.55, [-4.5 -2.4  1.8 -1.  -4.5  1.5  1.5  4.  -2.  -2. ]
170, 57.288593608, 1545.0830976963043, 3440, 413768, 9.45, [ 2.4  2.4 -3.5 -1.5  2.4 -1.8 -3.5 -1.   2.4 -2.4]
171, 57.625363863000004, 1549.9179182052612, 3460, 415639, 93.55, [-3.5 -1.8  1.7 -0.5 -4.   1.6 -2.8  3.5 -1.5 -2. ]
172, 57.987161809, 1558.4405000209808, 3480, 423225, 379.3, [-4.5 -3.5  1.5 -1.  -4.5  1.5  1.5  4.  -2.5 -2.5]
173, 58.287775536, 1561.4667501449585, 3500, 423508, 14.15, [-4.5  0.5  0.8 -1.  -4.5  1.5  1.5  4.   1.  -2.5]
174, 58.654801299, 1567.9649486541748, 3520, 431457, 397.45, [-4.5 -3.5  1.5 -1.  -4.5  1.5  1.5  4.  -2.5 -2.5]
175, 59.013835438, 1577.0378732681274, 3540, 433025, 78.4, [-3.5 -2.4  0.8 -0.7 -4.5  1.6 -2.8  3.5 -1.5 -2.4]
