Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward, Context Size, Num Attempts, Parameters
10, 7.734809649999999, 625.7212903499603, 240, 7912, -906.0728858474722, 3196, 1, [ 0.7 -0.7  0.8 -0.8  0.9 -0.9  1.  -1.   1.1 -1.1  1.2 -1.2  1.3 -1.3   1.4 -1.4  1.5 -1.5  1.6 -1.6  1.7 -1.7  1.8 -1.8  1.9 -1.9  2.  -2.   2.1 -2.1  2.2 -2.2  2.3 -2.3  2.4 -2.4  2.5 -2.5  2.6 -2.6  2.7 -2.7   2.8 -2.8  2.9 -2.9  3.  -3.   3.1 -3.1  3.2 -3.2  3.3 -3.3  3.4 -3.4   3.5 -3.5  3.6 -3.6  3.7 -3.7  3.8 -3.8  3.9 -3.9  4.  -4.   4.1 -4.1   4.2 -4.2  4.3 -4.3  4.4 -4.4  4.5 -4.5  4.6 -4.6  4.7 -4.7  4.8 -4.8   4.9 -4.9  5.  -5.   5.1 -5.1  5.2 -5.2  5.3 -5.3  5.4 -5.4  5.5 -5.5   5.6 -5.6  5.7 -5.7  0.   0.   0.   0.   0.   0. ]
11, 8.717419339, 664.4151561260223, 260, 10300, 98.19048607914164, 3480, 1, [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
12, 9.374927785, 700.3542523384094, 280, 10560, -3.615385987298391, 3480, 1, [ 0.5 -0.5  0.5 -0.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. ]
13, 10.034443769, 727.9530239105225, 300, 10853, -3.6057494884804258, 3196, 1, [0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1]
14, 10.717440846, 863.520929813385, 320, 11016, -5.595043916776411, 3196, 1, [ 2.5 -3.1  1.  -1.2  4.4 -2.6  0.3 -0.9  5.6 -5.5  3.7 -3.4  2.1 -2.8   0.8 -0.7  4.9 -4.6  1.3 -1.5  0.5 -0.4  2.  -1.8  3.2 -2.9  1.6 -1.7   4.  -3.9  0.2 -0.1  3.5 -3.   2.3 -2.5  1.9 -1.4  5.  -4.5  0.7 -0.8   2.8 -2.3  3.9 -3.4  1.1 -1.   4.3 -4.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. ]
15, 11.427759108, 909.5020723342896, 340, 11509, -3.466188836611758, 3196, 1, [ 0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2   0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2   0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2   0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2   0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2   0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2   0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2  0.2 -0.2   0.2 -0.2  0.2 -0.2  0.1  0.1  0.1  0.1  0.1  0.1]
16, 12.112965726999999, 954.0440504550934, 360, 11902, -549.7962487365028, 3196, 1, [ 4.2 -1.9  0.7 -4.3  2.6 -5.1  3.3 -2.8  1.5 -0.6  5.4 -3.2  2.9 -4.   0.3 -6.   5.9 -1.3  3.  -2.2  1.8 -4.7  2.1 -3.5  0.  -0.9  4.8 -5.6   2.  -1.   6.  -6.   3.7 -3.9  1.4 -2.7  5.2 -4.4  2.3 -0.5  0.6 -1.1   4.5 -5.2  1.7 -2.1  0.8 -3.   3.6 -4.1  2.4 -1.6  5.5 -3.8  1.9 -0.2   4.  -2.5  3.2 -4.8  0.9 -1.4  5.1 -5.9  2.7 -3.3  4.1 -0.3  1.2 -2.   3.8 -4.5  0.4 -6.   5.8 -5.3  1.6 -2.9  4.6 -3.6  2.2 -1.7  5.7 -4.9   0.7 -3.1  2.8 -2.3  4.9 -5.   1.3 -1.8  3.9 -4.2  0.5 -0.6  5.3 -2.2   4.7 -3.4  1.5 -0.7  0.9 -1.2  3.4 -2.6  4.  -3.9]
17, 12.859871422, 996.0569179058075, 380, 12209, -708.5872498880092, 3196, 1, [-5.   4.9 -4.8  3.7 -2.6  1.5 -0.4  0.5 -1.6  2.7 -3.8  4.9 -5.   1.1  -2.2  3.3 -4.4  5.5 -6.   0.  -1.1  2.2 -3.3  4.4 -5.   1.1 -2.2  3.3  -4.4  5.5 -6.   0.  -1.1  2.2 -3.3  4.4 -5.5  6.  -0.1  1.2 -2.3  3.4  -4.5  5.6 -6.   0.2 -1.3  2.4 -3.5  4.6 -5.7  6.  -0.3  1.4 -2.5  3.6  -4.7  5.8 -6.   0.3 -1.4  2.5 -3.6  4.7 -5.8  6.  -0.4  1.5 -2.6  3.7  -4.8  5.9 -6.   0.4 -1.5  2.6 -3.7  4.8 -5.9  6.  -0.5  1.6 -2.7  3.8  -4.9  5.  -6.   0.6 -1.7  2.8 -3.9  4.  -5.   6.  -0.7  1.7 -2.8  3.9  -4.   5.1 -5.1  6.  -0.5  0.9 -1.2  2.3 -3.4  4.5]
18, 13.515459215, 1037.065836906433, 400, 12329, -392.66046003338727, 3196, 1, [-5.4 -5.3 -5.2 -5.1 -5.  -4.9 -4.8 -4.7 -4.6 -4.5 -4.4 -4.3 -4.2 -4.1  -4.  -3.9 -3.8 -3.7 -3.6 -3.5 -3.4 -3.3 -3.2 -3.1 -3.  -2.9 -2.8 -2.7  -2.6 -2.5 -2.4 -2.3 -2.2 -2.1 -2.  -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3  -1.2 -1.1 -1.  -0.9 -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1  0.   0.1   0.2  0.3  0.4  0.5  0.6  0.7  0.8  0.9  1.   1.1  1.2  1.3  1.4  1.5   1.6  1.7  1.8  1.9  2.   2.1  2.2  2.3  2.4  2.5  2.6  2.7  2.8  2.9   3.   3.1  3.2  3.3  3.4  3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2  4.3   4.4  4.5  4.6  4.7  4.8  4.9  5.   5.1  5.2  5.3]
19, 14.184907615, 1092.2986962795258, 420, 12574, -320.0824875707953, 3196, 1, [ 4.1 -3.2  2.7 -4.8  5.6 -1.4  3.5 -2.6 -1.3  5.9 -2.5  0.8 -1.1  3.3  -2.4  6.  -5.7  1.8 -0.4  5.2 -1.6  4.  -5.5  2.  -3.9  1.7 -0.9  3.6  -4.4  0.2 -5.   4.7 -2.1  1.5 -3.3  2.9 -6.   0.5 -1.2  3.8 -4.5  2.3  -2.8  5.  -1.7  3.4 -0.6  6.  -5.4  2.2 -3.1  4.6 -0.7  1.9 -4.   3.1  -2.   5.8 -1.   0.3 -5.3  2.5 -2.9  4.4 -0.8  1.4 -3.7  5.2 -4.1  0.9   2.6 -3.5  4.9 -5.6  1.1 -2.3  3.7 -4.2  0.   5.5 -2.2  4.3 -5.1  3.  -4.7  2.4 -1.8  3.9 -5.   1.7 -3.2  4.8 -0.9  2.8 -4.5  1.5 -6.   0.2   5.5 -3.8  1.7 -2.   3.9 -4.5  0.5 -6.   4.2 -3.3]
20, 14.871087758999998, 1152.0596318244934, 440, 12906, -384.9535192868995, 3196, 1, [ 3.1 -2.4  1.6 -4.5  0.8 -1.3  2.9 -3.7  4.2 -0.5  5.  -2.1  1.  -3.3   2.7 -4.1  0.3 -1.9  3.5 -2.8  1.4 -0.9  2.6 -3.2  4.  -1.1  0.7 -2.5   3.8 -4.9  0.2 -3.6  2.1 -1.7  4.5 -2.3  1.9 -0.8  3.2 -4.4  0.5 -1.4   2.8 -3.9  1.1 -2.6  3.4 -0.7  4.3 -2.   1.5 -3.1  2.2 -4.7  0.9 -1.6   3.7 -2.9  4.1 -0.3  1.8 -3.4  2.  -4.2  0.6 -1.2  3.3 -2.7  4.8 -0.1   1.7 -3.5  2.5 -4.6  0.4 -1.   3.6 -2.4  4.7 -0.2  1.9 -3.   2.3 -4.8   0.7 -1.5  3.2 -2.2  4.4 -0.4  1.6 -3.1  2.1 -4.3  0.3 -0.9  3.9 -1.8   4.5 -0.6  2.4 -3.8  0.5 -1.3  3.1 -2.   4.2 -0.7]
21, 15.651786690999998, 1262.1711208820343, 460, 13166, -3295.4145724748532, 3480, 1, [4.6 5.2 4.  1.7 5.1 5.2 5.2 5.2 5.1 5.2 4.5 5.1 5.4 5.1 5.2 5.2 5.1 5.4  5.4 5.4 5.3 5.1 5.4 5.6 5.5 5.5 5.4 5.3 5.4 5.5 5.3 5.4 5.3 5.4 5.2 5.3  5.4 5.4 5.4 5.5 5.4 5.5 5.4 5.5 5.5 5.6 5.6 5.6 5.6 5.6 5.5 5.6 5.6 5.7  5.5 5.5 5.6 5.6 5.6 5.7 5.6 5.7 5.6 5.7 5.6 5.6 5.6 5.7 5.7 5.7 5.6 5.6  5.6 5.5 5.5 5.5 5.5 5.5 5.5 5.6 5.6 5.7 5.7 5.7 5.8 5.6 5.7 5.7 5.8 5.6  5.7 5.8 5.9 5.7 5.8 5.9 6.  5.8 6.  5.9 5.9 6.  5.9 5.8 5.8 5.9 6.  5.7]
22, 16.62952277, 1331.9500210285187, 480, 15558, 97.07979455187082, 3502, 4, [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
23, 17.292991212, 1376.0440311431885, 500, 15891, -777.9365696098301, 3196, 1, [ 1.2 -3.4  2.6 -0.8  4.1 -5.   0.5  3.3 -2.2  1.7 -4.5  2.9 -1.1  0.3  -3.7  4.9 -2.4  5.5 -0.6  3.  -1.5  2.3 -4.2  0.8 -5.6  3.1 -2.9  4.  -1.3  5.1 -3.   1.4 -0.9  2.7 -4.8  5.  -2.1  3.6 -1.   4.2 -5.5  0.7  -2.8  1.9 -3.2  4.4 -0.3  5.3 -1.8  2.  -4.   3.9 -2.7  0.6 -3.5  4.7  -1.4  5.8 -0.2  1.5 -4.9  2.2 -3.1  0.9 -5.7  3.7 -2.   4.3 -1.6  5.2  -0.1  2.5 -3.3  4.  -4.4  1.  -2.5  3.8 -5.2  0.4 -3.9  2.1 -1.7  4.5  -2.6  5.1 -0.7  3.2 -4.1  1.3 -2.   5.4 -1.9  0.  -4.6  2.8 -3.   5.6  -0.5  1.8 -5.1  3.  -2.3  4.6 -1.2  5.7 -0.9  3.5]
24, 17.932540989, 1407.4792869091034, 520, 16131, -15.367138810520306, 2913, 1, [ 1.  -1.   0.5 -0.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   5.  -5.   5.  -5.   5.  -5.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. ]
25, 18.662128694, 1447.4979269504547, 540, 16631, 0.6817725160987609, 2913, 1, [ 0.2 -0.1  0.3  0.1 -0.2  0.4  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. ]
26, 19.345733274, 1490.2087252140045, 560, 17021, -3.7675510725780557, 2913, 1, [ 0.5 -0.5  0.2 -0.2  0.3 -0.3  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. ]
27, 19.991212949, 1529.0067913532257, 580, 17203, -475.39682465243686, 2913, 1, [ 2.3 -4.7  5.1 -1.2  0.6 -5.8  3.4 -2.9  4.  -3.5  1.9 -0.4  6.  -5.   2.1 -4.2  0.   5.5 -2.   3.3 -1.5  4.7 -6.   0.8 -3.8  5.9 -4.4  1.2  -0.9  6.  -5.5  3.  -2.5  4.2 -1.1  5.6 -3.3  2.4 -0.7  6.  -4.6  1.7  -2.8  5.  -3.   4.5 -1.6  0.3  5.2 -4.1  2.9 -3.6  4.8 -0.2  6.  -5.3  -2.2  5.7 -3.9  2.  -1.   4.3 -6.   3.1 -2.7  5.4 -4.8  1.8 -0.5  6.  -5.   2.2 -3.1  4.6 -1.3  5.1 -2.6  0.4 -4.9  3.5 -0.3  6.  -5.4  1.6  -2.3  4.9 -3.7  0.7 -6.   5.8 -4.5  2.7 -1.8  5.  -3.4  4.1 -0.6  6.  -5.1  1.5 -2.1  4.4 -3.2  5.3 -0.8  6.  -4.  -4. ]
28, 20.672950988, 1577.9973611831665, 600, 17323, -470.08629694651626, 3196, 1, [-5.  -4.9 -4.8 -4.7 -4.6 -4.5 -4.4 -4.3 -4.2 -4.1 -4.  -3.9 -3.8 -3.7  -3.6 -3.5 -3.4 -3.3 -3.2 -3.1 -3.  -2.9 -2.8 -2.7 -2.6 -2.5 -2.4 -2.3  -2.2 -2.1 -2.  -1.9 -1.8 -1.7 -1.6 -1.5 -1.4 -1.3 -1.2 -1.1 -1.  -0.9  -0.8 -0.7 -0.6 -0.5 -0.4 -0.3 -0.2 -0.1  0.   0.1  0.2  0.3  0.4  0.5   0.6  0.7  0.8  0.9  1.   1.1  1.2  1.3  1.4  1.5  1.6  1.7  1.8  1.9   2.   2.1  2.2  2.3  2.4  2.5  2.6  2.7  2.8  2.9  3.   3.1  3.2  3.3   3.4  3.5  3.6  3.7  3.8  3.9  4.   4.1  4.2  4.3  4.4  4.5  4.6  4.7   4.8  4.9  5.   5.1  5.2  5.3  5.4  5.5  5.6  5.7]
29, 21.337765777, 1625.4750146865845, 620, 17575, -126.38074962373187, 3196, 1, [ 1.5 -1.2  0.8 -0.6  0.4 -0.3  2.  -2.1  1.1 -1.3  0.7 -0.9  1.6 -1.7   0.5 -0.4  0.9 -0.8  2.2 -2.3  1.3 -1.4  0.6 -0.7  1.8 -1.9  0.2 -0.1   1.  -0.5  0.3 -0.2  0.   0.1 -0.3  0.4 -0.6  0.7 -0.8  1.2 -1.1  0.5  -0.9  1.4 -1.5  0.6 -0.7  1.6 -1.7  0.8 -0.9  1.8 -2.   0.9 -1.   2.1  -2.2  1.  -1.1  2.2 -2.3  1.  -1.   2.3 -2.4  1.1 -1.1  0.5 -0.6  1.3  -1.2  0.6 -0.7  1.4 -1.5  0.7 -0.8  1.5 -1.6  0.8 -0.9  1.6 -1.7  0.9  -1.   1.7 -2.   2.  -2.1  1.1 -1.2  0.3 -0.4  0.5 -0.6  0.7 -0.8  1.2  -1.3  0.4 -0.5  0.6 -0.7  0.8 -0.9  1.  -1.   0.5]
